Entrando en modo automático
A continuación se ejecturá el algoritmo con distintos valores para el estudio del tiempo
Resultados de la ejecución
------------------------------------------------------------------------------
Threshold 	 Sigma value 	 Tiempo de ejecución
40	 3	 0,135
40	 6	 0,359
40	 9	 0,792
40	 12	 1,325
40	 15	 2,23
40	 18	 2,992
60	 3	 0,109
60	 6	 0,357
60	 9	 0,764
60	 12	 1,325
60	 15	 2,29
60	 18	 2,986
80	 3	 0,109
80	 6	 0,358
80	 9	 0,767
80	 12	 1,320
80	 15	 2,17
80	 18	 2,997
100	 3	 0,108
100	 6	 0,358
100	 9	 0,762
100	 12	 1,324
100	 15	 2,33
100	 18	 2,983
120	 3	 0,108
120	 6	 0,358
120	 9	 0,767
120	 12	 1,318
120	 15	 2,17
120	 18	 2,990
140	 3	 0,109
140	 6	 0,358
140	 9	 0,762
140	 12	 1,318
140	 15	 2,44
140	 18	 2,984
Tamaño de la imagen en pixeles: 154401
