Entrando en modo automático
A continuación se ejecturá el algoritmo con distintos valores para el estudio del tiempo
Resultados de la ejecución
------------------------------------------------------------------------------
Threshold 	 Sigma value 	 Tiempo de ejecución
5	 3	 0,525
5	 4	 0,776
5	 5	 1,173
5	 6	 1,697
5	 7	 2,269
5	 8	 2,911
5	 9	 3,640
5	 10	 4,447
5	 11	 5,368
5	 12	 6,282
5	 13	 7,294
5	 14	 8,409
5	 15	 9,550
6	 3	 0,482
6	 4	 0,774
6	 5	 1,176
6	 6	 1,698
6	 7	 2,263
6	 8	 2,912
6	 9	 3,636
6	 10	 4,432
6	 11	 5,309
6	 12	 6,264
6	 13	 7,280
6	 14	 8,370
6	 15	 10,19
7	 3	 0,494
7	 4	 0,792
7	 5	 1,251
7	 6	 1,731
7	 7	 2,333
7	 8	 3,95
7	 9	 3,759
7	 10	 4,750
7	 11	 5,390
7	 12	 6,365
7	 13	 7,333
7	 14	 8,411
7	 15	 9,644
8	 3	 0,483
8	 4	 0,777
8	 5	 1,197
8	 6	 1,698
8	 7	 2,263
8	 8	 2,940
8	 9	 3,698
8	 10	 4,469
8	 11	 5,565
