Entrando en modo automático
A continuación se ejecturá el algoritmo con distintos valores para el estudio del tiempo
Resultados de la ejecución
------------------------------------------------------------------------------
Threshold 	 Sigma value 	 Tiempo de ejecución
40	 3	 0,179
40	 6	 0,587
40	 9	 1,219
40	 12	 2,109
40	 15	 3,326
40	 18	 4,871
60	 3	 0,175
60	 6	 0,569
60	 9	 1,218
60	 12	 2,122
60	 15	 3,308
60	 18	 4,894
80	 3	 0,174
80	 6	 0,570
80	 9	 1,225
80	 12	 2,109
80	 15	 3,346
80	 18	 4,861
100	 3	 0,165
100	 6	 0,569
100	 9	 1,218
100	 12	 2,114
100	 15	 3,317
100	 18	 4,878
120	 3	 0,165
120	 6	 0,570
120	 9	 1,225
120	 12	 2,111
120	 15	 3,321
120	 18	 4,862
140	 3	 0,165
140	 6	 0,571
140	 9	 1,221
140	 12	 2,108
140	 15	 3,345
140	 18	 4,848
Tamaño de la imagen en pixeles: 154401
